iter	Logloss
0	0.6484916381
1	0.611458984
2	0.5850246923
3	0.5659202368
4	0.5513586815
5	0.5381933302
6	0.5278644549
7	0.5195856328
8	0.5130444565
9	0.5076636095
10	0.5032413752
11	0.4993392517
12	0.4964266075
13	0.4938342261
14	0.4913325623
15	0.4896235341
16	0.4879567689
17	0.486566578
18	0.4853780661
19	0.4841177854
20	0.4825704065
21	0.4820058763
22	0.4808907246
23	0.4800875488
24	0.4796036443
25	0.4789242587
26	0.4784762446
27	0.4777926164
28	0.4774569334
29	0.4771386731
30	0.4765377856
31	0.476241386
32	0.4758611743
33	0.4754481072
34	0.47521198
35	0.4749762651
36	0.4745194454
37	0.4742486644
38	0.4740957569
39	0.4738846746
40	0.4737541921
41	0.4734930431
42	0.4733317424
43	0.473110452
44	0.4728969507
45	0.4727363041
46	0.4725501232
47	0.4723556622
48	0.4721732831
49	0.4719966411
50	0.4718104147
51	0.4716416148
52	0.4715003652
53	0.4713517341
54	0.4711812927
55	0.4709532517
56	0.4707228916
57	0.4705886777
58	0.4704983857
59	0.47037839
60	0.47026369
61	0.4701429213
62	0.470051423
63	0.4698862762
64	0.4697573695
65	0.4696758356
66	0.4695544019
67	0.46949888
68	0.4693735398
69	0.4692056096
70	0.4691116657
71	0.4689564705
72	0.4687113923
73	0.4684813849
74	0.4683535425
75	0.4682723103
76	0.4681429373
77	0.4679680211
78	0.467834682
79	0.4677561735
80	0.4676770778
81	0.467553611
82	0.4674747355
83	0.4673521842
84	0.4672991547
85	0.467196385
86	0.4670851924
87	0.4669974129
88	0.4667942649
89	0.4667013244
90	0.4666139268
91	0.4665219923
92	0.4664624175
93	0.4663401305
94	0.4662979151
95	0.4662388912
96	0.4662008583
97	0.4661484016
98	0.466102734
99	0.4660662692
100	0.4659846532
101	0.4659341832
102	0.4658642595
103	0.4657972944
104	0.4657508257
105	0.4656604943
106	0.4655673179
107	0.4654855738
108	0.465421261
109	0.4653456376
110	0.4652733216
111	0.4651261723
112	0.4650290884
113	0.4649065647
114	0.4648159335
115	0.4646840123
116	0.4645993485
117	0.4645171982
118	0.4644271048
119	0.4643504717
120	0.4642923617
121	0.4641940331
122	0.4640950629
123	0.4639710595
124	0.4638495617
125	0.4636880391
126	0.4636524692
127	0.4635170349
128	0.4634659986
129	0.4633833832
130	0.4632499341
131	0.4631134888
132	0.4630326341
133	0.4629356727
134	0.4628444048
135	0.4627928404
136	0.4627065921
137	0.46261302
138	0.4624951042
139	0.4624456807
140	0.4623322107
141	0.4622285398
142	0.4621514247
143	0.4620540231
144	0.461971483
145	0.4619200576
146	0.4618547482
147	0.461749663
148	0.4616198193
149	0.4615351416
150	0.4614498471
151	0.4613502976
152	0.4612611342
153	0.4612087541
154	0.4611448368
155	0.4610687369
156	0.4609487563
157	0.4608287601
158	0.46074209
159	0.4606428353
160	0.4605664515
161	0.4605049875
162	0.4604300211
163	0.4603549169
164	0.4602859811
165	0.4602004003
166	0.4601025272
167	0.4600431954
168	0.4599724655
169	0.4598573937
170	0.4597697868
171	0.4596911662
172	0.4596048038
173	0.4595573447
174	0.4594829244
175	0.459400095
176	0.4593310653
177	0.4592582428
178	0.459177711
179	0.4590947648
180	0.4590349182
181	0.458970092
182	0.4589109714
183	0.4588382687
184	0.458758093
185	0.4586675836
186	0.4585876586
187	0.4585034643
188	0.4584166234
189	0.4583466826
190	0.4582711882
191	0.4581912678
192	0.4581207223
193	0.4580362939
194	0.4579564903
195	0.4578919435
196	0.4578254681
197	0.4577601297
198	0.4577187781
199	0.4576639847
200	0.4575701945
201	0.4574819485
202	0.4574149405
203	0.4573512722
204	0.4573011299
205	0.4572316747
206	0.457181873
207	0.457131979
208	0.4570698717
209	0.4570002753
210	0.4569443101
211	0.4568704449
212	0.4568156455
213	0.4567439199
214	0.4566798977
215	0.4566261302
216	0.4565675047
217	0.4564911388
218	0.4563922753
219	0.4563285872
220	0.456245748
221	0.4561612314
222	0.4561147991
223	0.4560587053
224	0.4559892153
225	0.4559255035
226	0.4558851627
227	0.4557975906
228	0.4557299565
229	0.455658376
230	0.4556174406
231	0.4555500085
232	0.4554951891
233	0.455432565
234	0.4553732099
235	0.4553104987
236	0.4552319075
237	0.4551922441
238	0.4551401822
239	0.4551045337
240	0.4550478857
241	0.4550007767
242	0.4549323504
243	0.4548653859
244	0.4548016114
245	0.454739544
246	0.4546415333
247	0.4545798964
248	0.4545238434
249	0.4544404094
250	0.4543921262
251	0.4543342531
252	0.4542765055
253	0.4542136415
254	0.4541585242
255	0.4541121414
256	0.4540573272
257	0.4539950308
258	0.4539532438
259	0.4539194664
260	0.45386753
261	0.4537941129
262	0.453732638
263	0.4536871817
264	0.4536253514
265	0.4535896571
266	0.4535397303
267	0.4534709656
268	0.4534234703
269	0.4533748713
270	0.4533343435
271	0.4533042898
272	0.4532521632
273	0.4531797705
274	0.453123678
275	0.4530606334
276	0.4530134308
277	0.4529429246
278	0.4528956517
279	0.452844516
280	0.452794988
281	0.4527466082
282	0.4526851617
283	0.4526245405
284	0.4525805522
285	0.4525283078
286	0.4524684237
287	0.4524088404
288	0.4523425877
289	0.4522781134
290	0.4522166109
291	0.4521634239
292	0.4521213597
