iter	Passed	Remaining
0	70	70561
1	86	42922
2	100	33474
3	116	28977
4	131	26260
5	147	24426
6	163	23130
7	178	22083
8	193	21361
9	209	20709
10	225	20239
11	241	19871
12	256	19473
13	271	19134
14	288	18938
15	302	18603
16	317	18352
17	331	18094
18	345	17858
19	359	17629
20	374	17471
21	389	17311
22	403	17140
23	416	16955
24	432	16849
25	446	16735
26	461	16646
27	476	16558
28	492	16484
29	508	16431
30	524	16404
31	540	16338
32	555	16291
33	570	16206
34	586	16158
35	600	16088
36	616	16033
37	631	15980
38	646	15920
39	661	15880
40	676	15818
41	692	15805
42	707	15753
43	724	15734
44	739	15703
45	756	15688
46	771	15635
47	786	15590
48	799	15526
49	814	15466
50	829	15427
51	844	15391
52	859	15353
53	874	15312
54	889	15282
55	904	15243
56	919	15210
57	933	15165
58	949	15143
59	965	15122
60	982	15125
61	998	15111
62	1014	15083
63	1028	15039
64	1044	15020
65	1059	14991
66	1074	14968
67	1090	14951
68	1106	14929
69	1122	14906
70	1137	14883
71	1152	14850
72	1166	14809
73	1181	14781
74	1205	14872
75	1220	14839
76	1236	14816
77	1251	14794
78	1267	14773
79	1282	14749
80	1297	14722
81	1312	14691
82	1327	14666
83	1343	14650
84	1359	14632
85	1374	14611
86	1390	14587
87	1405	14566
88	1421	14551
89	1437	14538
90	1452	14507
91	1467	14485
92	1483	14464
93	1500	14457
94	1515	14440
95	1530	14414
96	1545	14388
97	1561	14367
98	1576	14349
99	1591	14326
100	1606	14303
101	1621	14278
102	1637	14263
103	1652	14236
104	1668	14218
105	1683	14198
106	1698	14172
107	1713	14148
108	1728	14125
109	1742	14099
110	1757	14078
111	1772	14051
112	1787	14029
113	1802	14005
114	1816	13979
115	1830	13950
116	1848	13948
117	1863	13930
118	1880	13922
119	1895	13902
120	1911	13884
121	1925	13856
122	1940	13834
123	1956	13820
124	1972	13810
125	1987	13787
126	2002	13766
127	2017	13741
128	2031	13719
129	2047	13699
130	2062	13681
131	2077	13660
132	2092	13638
133	2106	13613
134	2121	13593
135	2136	13571
136	2151	13552
137	2166	13533
138	2181	13514
139	2196	13495
140	2212	13477
141	2227	13459
142	2242	13436
143	2257	13419
144	2272	13398
145	2286	13376
146	2302	13360
147	2316	13338
148	2330	13312
149	2346	13294
150	2361	13277
151	2376	13258
152	2391	13238
153	2405	13217
154	2420	13196
155	2435	13179
156	2451	13164
157	2467	13149
158	2481	13125
159	2497	13110
160	2512	13091
161	2527	13075
162	2542	13056
163	2557	13037
164	2572	13017
165	2587	12997
166	2602	12983
167	2618	12969
168	2633	12951
169	2647	12928
170	2664	12915
171	2679	12900
172	2695	12884
173	2710	12866
174	2725	12848
175	2740	12831
176	2756	12816
177	2771	12798
178	2787	12784
179	2803	12769
180	2818	12754
181	2833	12736
182	2848	12715
183	2863	12697
184	2878	12681
185	2893	12664
186	2909	12647
187	2925	12635
188	2942	12625
189	2957	12608
190	2972	12590
191	2987	12572
192	3002	12553
193	3017	12535
194	3032	12519
195	3047	12500
196	3062	12484
197	3077	12466
198	3092	12446
199	3107	12428
200	3122	12412
201	3137	12392
202	3151	12374
203	3166	12354
204	3181	12338
205	3197	12323
206	3212	12306
207	3227	12288
208	3242	12270
209	3257	12252
210	3271	12234
211	3287	12218
212	3301	12199
213	3316	12179
214	3330	12160
215	3345	12144
216	3360	12125
217	3375	12108
218	3390	12089
219	3405	12073
220	3420	12058
221	3436	12043
222	3451	12024
223	3465	12005
224	3480	11987
225	3495	11969
226	3509	11950
227	3524	11932
228	3538	11914
229	3553	11897
230	3568	11880
231	3583	11864
232	3598	11846
233	3613	11828
234	3628	11810
235	3642	11792
236	3657	11776
237	3672	11758
238	3687	11740
239	3701	11720
240	3715	11702
241	3730	11684
242	3746	11669
243	3760	11652
244	3775	11634
245	3790	11618
246	3806	11603
247	3821	11586
248	3835	11569
249	3851	11553
250	3866	11537
251	3881	11522
252	3896	11504
253	3912	11491
254	3927	11475
255	3942	11459
256	3959	11445
257	3973	11428
258	3989	11413
259	4004	11398
260	4020	11383
261	4035	11366
262	4049	11348
263	4065	11332
264	4080	11318
265	4096	11302
266	4110	11284
267	4125	11267
268	4140	11251
269	4156	11236
270	4170	11219
271	4185	11202
272	4201	11187
273	4217	11174
274	4232	11158
275	4248	11143
276	4263	11126
277	4277	11109
278	4292	11093
279	4307	11076
280	4322	11059
281	4337	11042
282	4351	11024
283	4366	11008
284	4381	10993
285	4398	10980
286	4414	10966
287	4429	10951
288	4444	10933
289	4458	10916
290	4473	10899
291	4488	10884
292	4503	10867
293	4518	10850
294	4533	10834
295	4548	10817
296	4563	10800
297	4577	10783
298	4592	10767
299	4608	10752
300	4622	10735
301	4637	10719
302	4652	10701
303	4667	10685
304	4682	10669
305	4697	10653
306	4712	10636
307	4726	10618
308	4741	10602
309	4756	10587
310	4771	10570
311	4786	10553
312	4801	10537
313	4816	10523
314	4832	10509
315	4849	10496
316	4865	10482
317	4880	10467
318	4895	10450
319	4910	10434
320	4925	10419
321	4940	10403
322	4955	10386
323	4969	10369
324	4984	10353
325	5000	10337
326	5015	10321
327	5029	10303
328	5043	10286
329	5057	10268
330	5072	10251
331	5087	10236
332	5102	10220
333	5116	10203
334	5132	10187
335	5147	10171
336	5162	10156
337	5176	10138
338	5191	10122
339	5206	10105
340	5220	10089
341	5235	10072
342	5251	10059
343	5266	10042
344	5279	10023
345	5295	10008
346	5310	9992
347	5325	9977
348	5339	9959
349	5354	9943
350	5369	9927
351	5384	9912
352	5398	9895
353	5413	9878
354	5428	9862
355	5442	9845
356	5457	9829
357	5472	9813
358	5487	9797
359	5503	9783
360	5517	9767
361	5532	9751
362	5547	9734
363	5562	9718
364	5577	9702
365	5592	9686
366	5606	9670
367	5621	9653
368	5635	9637
369	5650	9621
370	5665	9605
371	5680	9588
372	5694	9572
373	5709	9556
374	5723	9539
375	5738	9523
376	5752	9506
377	5768	9491
378	5782	9474
379	5797	9458
380	5812	9442
381	5827	9427
382	5842	9411
